CustomerName,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,Churn,Tenure_Years,Churn_Flag,Risk
Customer_1,Female,41,110.61,4504.527408714642,One year,No,3.4166666666666665,0,Low Risk
Customer_2,Male,42,33.07,1375.625264321303,Two year,Yes,3.5,1,Low Risk
Customer_3,Male,33,77.14,2621.2040001871515,month to month,No,2.75,0,Low Risk
Customer_4,Male,50,45.37,2186.5356131176964,Two year,No,4.166666666666667,0,Low Risk
Customer_5,Male,63,100.14,6379.940535463834,One year,No,5.25,0,Low Risk
Customer_6,Female,37,27.02,953.8012254894348,Month-to-month,Yes,3.0833333333333335,1,Low Risk
Customer_7,Male,59,88.9,5288.5540886633,Two year,No,4.916666666666667,0,Low Risk
Customer_8,Male,48,37.49,1852.8858477587385,Month-to-month,Yes,4.0,1,Low Risk
Customer_9,Male,5,79.64,419.7231107775951,One year,No,0.4166666666666667,0,High Risk
Customer_10,Male,48,103.57,4910.437819405599,Two year,No,4.0,0,Low Risk
Customer_11,Female,3,95.51,300.1514841821795,Two year,Yes,0.25,1,High Risk
Customer_12,Male,47,95.29,4606.608112516164,Two year,No,3.9166666666666665,0,Low Risk
Customer_13,Female,62,71.78,4450.921785062006,Month-to-month,Yes,5.166666666666667,1,Low Risk
Customer_14,Male,14,109.07,1521.939161915153,One year,Yes,1.1666666666666667,1,Medium Risk
Customer_15,Female,63,78.81,4955.17717346397,month to month,No,5.25,0,Low Risk
Customer_16,Female,61,111.75,6842.528168353661,month to month,No,5.083333333333333,0,Low Risk
Customer_17,Female,31,74.65,2309.7909580833734,One year,No,2.5833333333333335,0,Low Risk
Customer_18,Female,17,70.6,1214.42952548466,Two year,Yes,1.4166666666666667,1,Medium Risk
Customer_19,Female,24,42.24,999.1438322344916,month to month,Yes,2.0,1,Low Risk
Customer_20,Female,23,74.48,1661.2277564347576,Two year,Yes,1.9166666666666667,1,Medium Risk
Customer_21,Male,50,34.06,1819.103455034214,One year,No,4.166666666666667,0,Low Risk
Customer_22,Male,70,106.97,7483.067434920366,Month-to-month,No,5.833333333333333,0,Low Risk
Customer_23,Female,27,87.59,2524.849909664594,Two year,Yes,2.25,1,Low Risk
Customer_24,Female,15,119.36,1811.645762302346,Month-to-month,No,1.25,0,Medium Risk
Customer_25,Female,50,29.21,1490.4991101287778,Month-to-month,Yes,4.166666666666667,1,Low Risk
Customer_26,Male,36,44.07,1571.0557715239122,One year,No,3.0,0,Low Risk
Customer_27,Female,8,107.72,832.1121339312436,One year,Yes,0.6666666666666666,1,High Risk
Customer_28,Male,3,59.53,164.25649404681303,Month-to-month,No,0.25,0,Medium Risk
Customer_29,Male,62,66.63,4089.4443667982746,Month-to-month,No,5.166666666666667,0,Low Risk
Customer_30,Male,47,106.07,4939.055959082455,month to month,Yes,3.9166666666666665,1,Low Risk
Customer_31,Male,61,72.18,4492.210052770694,month to month,Yes,5.083333333333333,1,Low Risk
Customer_32,Female,32,39.35,1299.187630283394,One year,Yes,2.6666666666666665,1,Low Risk
Customer_33,Female,13,109.2,1494.5092562177035,Two year,No,1.0833333333333333,0,Medium Risk
Customer_34,Female,1,23.11,79.3549844819259,Month-to-month,Yes,0.08333333333333333,1,Medium Risk
Customer_35,Female,34,109.54,3694.291421774901,Two year,No,2.8333333333333335,0,Low Risk
Customer_36,Female,62,25.05,1476.115708324778,Month-to-month,Yes,5.166666666666667,1,Low Risk
Customer_37,Female,71,86.58,6124.172841465159,One year,No,5.916666666666667,0,Low Risk
Customer_38,Male,31,27.17,846.8615909505808,Two year,No,2.5833333333333335,0,Low Risk
Customer_39,Female,64,90.62,5856.897155922966,One year,Yes,5.333333333333333,1,Low Risk
Customer_40,Female,25,23.4,582.2697676160763,Month-to-month,No,2.0833333333333335,0,Low Risk
Customer_41,Male,38,104.25,4109.818289758801,One year,No,3.1666666666666665,0,Low Risk
Customer_42,Male,14,66.59,910.6252004715074,Two year,No,1.1666666666666667,0,Medium Risk
Customer_43,Male,8,29.35,264.3528801224096,month to month,No,0.6666666666666666,0,Medium Risk
Customer_44,Male,54,90.68,4866.790455410215,One year,Yes,4.5,1,Low Risk
Customer_45,Male,2,68.93,158.17411929111722,Two year,No,0.16666666666666666,0,Medium Risk
Customer_46,Male,56,39.09,2104.0196850941993,One year,Yes,4.666666666666667,1,Low Risk
Customer_47,Female,61,21.57,1303.3369521377049,One year,No,5.083333333333333,0,Low Risk
