CustomerID,Tenure,InternetService,Contract,MonthlyCharges,TotalCharges,PaymentMethod,Churn
C00001,66,Fiber Optic,Month-to-Month,140.0,9859.85,Electronic Check,Yes
C00002,17,Fiber Optic,One Year,92.01,1576.77,Electronic Check,Yes
C00003,57,Fiber Optic,Month-to-Month,105.94,5161.17,Bank Transfer,No
C00004,47,Fiber Optic,One Year,41.25,2183.39,Mailed Check,No
C00005,32,DSL,One Year,123.04,4145.68,Credit Card,No
C00006,46,No Internet,One Year,113.08,4756.95,Credit Card,No
C00007,25,No Internet,One Year,38.92,1101.57,,No
C00008,36, Fiber Optic ,Month-to-Month,39.15,$1350.06,Bank Transfer,Yes
C00009,68,DSL,Month-to-Month,86.2,5216.23,Bank Transfer,No
C00010,49,dsl,Month-to-Month,54.85,2683.35,Credit Card,Yes
C00011,55,fiber optic,Month-to-Month,84.84,4103.73,Bank Transfer,No
C00012,67,Fiber Optic,month-to-month,70.16,4193.64,Electronic Check,Yes
C00013,2,FIBER,Month-to-Month,94.0,163.93,Bank Transfer,Yes
C00014,39,DSL,Month-to-Month,105.91,3874.56,Electronic Check,Yes
C00015,66,FIBER,Two Year,71.74,4345.38,Credit Card,No
C00016,47,Fiber Optic,One Year,86.69,3613.36,Electronic Check,Yes
C00017,61,No Internet,One Year,55.65,3649.26,Electronic Check,No
C00018,48,DSL, Month-to-Month ,70.8,3139.31,Mailed Check,No
C00019,7,DSL,Month-to-Month,84.69,642.11,Electronic Check,No
C00020,52,Fiber Optic,Two Year,33.64,1802.05,Electronic Check,No
C00021,27,No Internet,One Year,56.04,1424.14,,No
C00022,34,DSL,Month-to-Month,,,Electronic Check,Yes
C00023,40,Fiber Optic,Month-to-Month,67.2,$2651.62,Mailed Check,No
C00024,3,DSL,Month-to-Month,15.0,40.41,Electronic Check,No
C00025,69,fiber optic,Month-to-Month,78.05,4920.54,Bank Transfer,Yes
C00026,64,FIBER,One Year,69.64,4833.03,Electronic Check,No
C00027,34,fiber optic,One Year,63.27,2375.98,Bank Transfer,No
C00028,58,No Internet,One Year,87.12,5138.57,Electronic Check,No
C00029,10,Fiber Optic,Month-to-Month, 130.61 ,1319.36,Electronic Check,No
C00030,22,Fiber optic,Two Year,77.04,1565.13,Electronic Check,Yes
C00031,18,Fiber Optic,Two Year,52.27,1003.49,Bank Transfer,No
C00032,15,Fiber Optic,Month-to-Month,60.96,$917.76,Mailed Check,Yes
C00033,27, Fiber Optic ,Month-to-Month,81.8,2337.14,Electronic Check,No
C00034,30,Fiber Optic,One Year,36.29,1194.58,Electronic Check,No
C00035,52,DSL,Month-to-Month,96.34,4841.9,Electronic Check,Yes
C00036,70,,Month-to-Month,46.9,2959.18,Bank Transfer,Yes
C00037,26,Fiber Optic,One Year,40.21,1002.06,Mailed Check,No
C00038,6, Dsl,Month-to-Month,51.58,301.89,Bank Transfer,Yes
C00039,14,DSL,Month-to-Month,74.97,930.23,Electronic Check,No
C00040,54,DSL,Two Year,61.94,3098.45,Mailed Check,No
C00041,71,Fiber Optic,One Year,57.1,4337.71,Electronic Check,No
C00042,1,No Internet,Two Year,84.28,90.68,Bank Transfer,Yes
C00043,43, Dsl,Month-to-Month,84.74,3645.02,Credit Card,No
C00044,58,DSL,Month-to-Month,56.98,3093.74,Bank Transfer,Yes
C00045,55,Fiber Optic,Month-to-Month,54.07,3358.59,Electronic Check,No
C00046,25,DSL,Month-to-Month,81.54,2313.28,Credit Card,No
C00047,50,DSL,1 Year,85.87,4756.23,Electronic Check,No
C00048,56,Fiber Optic,One Year,95.58,4993.36,Electronic Check,No
C00049,49,No Internet,Month-to-Month,106.2,5667.16,Bank Transfer,No
C00050,12,Fiber Optic,Month-to-Month,56.93,714.24,Credit Card,No
C00051,18,Fiber Optic,Two Year,74.73,1148.91,Electronic Check,Yes
